"landmark_alias","landmark_fk"
"Convento São Francisco",1059
"Igreja do Rosário",1063
"Estádio Presidente Vargas",1075
"Casa de Davi Casa de Oração",1078
"Laboratório de Ciências e Tecnologias Agroambientais - LICTA (UFCG)",1083
"Delta Tour Viagens",1084
"Garden Hotel",1088
"Parque do Portal Sudoeste",1091
"O Escritório Bar & Restaurante",1095
"Riacho Riachão",1099
"Massas Finas",1107
"Tribunal do Júri",1110
"Edifício Solar das Acácias",1113
"Rodoviária",1116
"Bloco CZ (UFCG)",1125
"Posto Santo António",1130
"Parquinho do Parque da Liberdade",1134
"PSF Três Irmãs",1137
"China Taiwan",1139
"Vila Priquito",1148
"Tec Lanches",1150
"Churros e Lanches",1159
"Escola Estadual Severiano Pedro do Nascimento",1161
"Capela Cristo Rei",1163
"Evviva Bertolini",1164
"Motel Taiti",1165
"Hospital de Traumas Dom Luiz Gonzaga Fernandes",1169
"Posto Sat",1180
"Residencial Cipresa",1186
"Posto Milênio",1190
"Q-Delícia",1192
"João Carga d'Água",1193
"Cemitério Municipal de Lagoa Seca",1198
"Empório da Tapioca",1199
"Parque Ana Vilar",1203
"Facisa Food Park",1207
"Área verde",1208
"3",1212
"Bloco CP2 (UFCG)",1220
"Estacionamento do Hospital de Traumas Dom Luiz Gonzaga Fernandes",1223
"Via Mirante",1225
"Riacho Marinho",1227
"ÁREA VERDE",1233
"Praça Professor Chico Colares",1237
"Panificadora Basílio I",1239
"Residencial Santa Inez II",1242
"Espaço carioca",1243
"Carpe Diem",1244
"Parque do Laguinho da UFCG",1249
"Laboratório de Programação 4",1253
"LABINF (UFCG)",1254
"Canal das Três Irmãs",1256
"Monumento de Adoração à Biblía",1262
"Parque do Portal Sudoeste",1264
"The Woods Restô Bar",1269
"Comunidade de São Pio X",1273
"Quadra do Colégio Motiva",1276
"Montreal",1277
"Canal das Três Irmãs",1289
"Eskina Bar",1294
"Auto Escola Santo André",1296
"Praça das Engenharias",1300
"Hotel Central",1301
"Bloco BS (UFCG)",1302
"Bloco BE (UFCG)",1303
"Glacê Real",1304
"Pestiscaria",1307
"Madereira",1308
"Via Mirante",1310
"Clínica Veterinária Dr. Salomão",1321
"UFCG - Centro de Ciências Biológicas e da Saúde",1323
"academia popular",1324
"Canal do Prado",1325
"Igreja Cristã Nova Vida",1330
"Vila Nova Brasília",1334
"Açude",1336
"ESTUFA (UFCG)",1338
"Palacio das Artes Suellen Carolini",1339
"Praça Hilton Motta",1341
"Eng. de Alimentos (UFCG)",1342
"Oficina",1345
"Museu do Algodão",1346
"Hospital Universitário Alcides Carneiro",1348
"Pista de Skate do Parque da Liberdade",1349
"Rio Bodocongó",1351
"Igreja Biblíca Semear",1352
"Cantina da Dona Inês (UFCG)",1355
"Juscelino Kubitshek",1358
"Igreja Batista Cristo Vive",1359
"Bloco CI (UFCG)",1365
"Escolinha de Futebol Hulk Paraíba",1366
"Escola Municipal",1367
"Lanchonete",1375
"Posto São Luiz III",1376
"Laboratório de Hardware",1377
"Forno de Pizza",1378
"Sapateiro's Bar",1381
"Unimed Campina Grande",1384
"Praça da Igreja Nossa Senhora Rainha da Paz",1387
"Localiza Hertz",1388
"Rio Bodocongó",1391
"Praça Clementino Procópio",1392
"Natural's",1398
"Praça Pedra do Sapo",1403
"Parque Bodocongó",1406
"Bloco BJ (UFCG)",1409
"Vila Araxá",1410
"Juca Lanches",1414
"Motel Bel Recanto",1415
"Super Atacado Bom Todo",1417
"Mural de Aimes e Jogos",1421
"Bloco AI (Banco do Brasil)",1424
"Posto Fechine",1425
"Vila Catingueira",1431
"Lanchonete DR",1435
"Monumento a João Rique",1437
"Nina Lanches",1443
"Museu Digital de Campina Grande",1445
"Vila Broto Motel",1447
"Estadual da Palmeira",1448
"desconecido",1451
